ESC    27
1      49
2      50
3      51
4      52
5      53
6      54
7      55
8      56
9      57
0      48
ø      248
_      95
DEL AV 7
DEL AR 8
TAB AV 9
A      65
Z      90
E      69
R      82
T      84
Y      89
U      85
I      73
O      79
P      80
a‰     94
$      13
$      36
*      42
RET CH 13
Q      81
S      83
D      68
F      70
G      71
H      72
J      74
K      75
L      76
M      77
—      151
æ      13
<      60
W      87
X      88
C      67
       86
V      86
B      66
N      78
,      44
;      59
:      58
=      61
F1     315
F2     316
F3     317
F4     318
F5     319
F6     320
F7     321
F8     322
F9     323
F10    324
SCR LK 19
-      45
+      43
7      55
8      56
9      57
       13
4      52
5      13
5      53
6      54
1      49
2      50
3      51
0      13
0      48
.      46
&      38
‚      130
       13
       13
       34
'      39
(      40
       21
       21
Š      138
!      33
‡      135
…      133
)      41
-      45
tab ar 9
a      97
z      122
e      101
r      114
t      116
y      121
u      117
i      105
o      111
p      112
aˆ     94
*      13
*      42
prt sc 13
q      113
s      115
d      100
f      102
       13
g      103
       13
h      104
j      106
k      107
l      108
m      109
%      37
œ      156
>      62
w      119
x      120
c      99
v      118
b      98
n      110
?      63
.      46
/      47
+      43
fle h  328
fle dr 333
fle b  336
fle g  331
end    335
pg dn  337
pg up  329
ins    338
del    339
home   327
