 77 , 85 
 86 , 77 
 90 , 77 
 90 , 70 
 95 , 61 
 102 , 61 
 107 , 58 
 108 , 50 
 111 , 49 
 112 , 47 
 109 , 46 
 107 , 47 
 103 , 45 
 104 , 43 
 95 , 40 
 90 , 35 
 86 , 33 
 82 , 23 
 75 , 22 
 74 , 25 
 68 , 26 
 65 , 29 
 61 , 28 
 60 , 26 
 56 , 25 
 58 , 18 
 53 , 19 
 50 , 24 
 44 , 24 
 37 , 17 
 34 , 13 
 35 , 6 
 33 , 1 
 29 , 9 
 20 , 0 
 15 , 11 
 5 , 15 
 3 , 18 
 5 , 25 
 7 , 27 
 15 , 27 
 18 , 30 
 15 , 32 
 16 , 39 
 19 , 41 
 30 , 44 
 29 , 50 
 32 , 52 
 37 , 52 
 39 , 56 
 42 , 57 
 43 , 60 
 57 , 60 
 58 , 63 
 60 , 63 
 62 , 73 
 55 , 75 
 55 , 79 
 57 , 81 
 57 , 85 
 61 , 85 
 63 , 81 
 72 , 80 
 72 , 83 

